generator, trial number, number
Weak, 1, 2
Pseudo, 1, 4
True, 1, 2
Quantum, 1, 1
Weak, 2, 7
Pseudo, 2, 2
True, 2, 9
Quantum, 2, 5
Weak, 3, 2
Pseudo, 3, 4
True, 3, 6
Quantum, 3, 8
Weak, 4, 5
Pseudo, 4, 9
True, 4, 10
Quantum, 4, 3
Weak, 5, 2
Pseudo, 5, 4
True, 5, 10
Quantum, 5, 10
Weak, 6, 5
Pseudo, 6, 6
True, 6, 8
Quantum, 6, 5
Weak, 7, 5
Pseudo, 7, 5
True, 7, 1
Quantum, 7, 3
Weak, 8, 3
Pseudo, 8, 6
True, 8, 5
Quantum, 8, 2
Weak, 9, 7
Pseudo, 9, 2
True, 9, 6
Quantum, 9, 1
Weak, 10, 3
Pseudo, 10, 1
True, 10, 9
Quantum, 10, 6
