generator, trial number, number
Weak, 1, 2
Pseudo, 1, 2
True, 1, 9
Quantum, 1, 8
Weak, 2, 7
Pseudo, 2, 8
True, 2, 5
Quantum, 2, 5
Weak, 3, 6
Pseudo, 3, 6
True, 3, 10
Quantum, 3, 9
Weak, 4, 6
Pseudo, 4, 8
True, 4, 3
Quantum, 4, 8
Weak, 5, 7
Pseudo, 5, 6
True, 5, 3
Quantum, 5, 8
Weak, 6, 7
Pseudo, 6, 9
True, 6, 4
Quantum, 6, 2
Weak, 7, 9
Pseudo, 7, 4
True, 7, 2
Quantum, 7, 6
Weak, 8, 7
Pseudo, 8, 4
True, 8, 1
Quantum, 8, 7
Weak, 9, 2
Pseudo, 9, 9
True, 9, 4
Quantum, 9, 8
Weak, 10, 9
Pseudo, 10, 9
True, 10, 9
Quantum, 10, 7
