generator, trial number, number
Weak, 1, 7
Pseudo, 1, 9
True, 1, 9
Quantum, 1, 7
Weak, 2, 3
Pseudo, 2, 5
True, 2, 4
Quantum, 2, 3
Weak, 3, 1
Pseudo, 3, 7
True, 3, 7
Quantum, 3, 6
Weak, 4, 2
Pseudo, 4, 7
True, 4, 5
Quantum, 4, 5
Weak, 5, 6
Pseudo, 5, 4
True, 5, 7
Quantum, 5, 5
Weak, 6, 4
Pseudo, 6, 1
True, 6, 9
Quantum, 6, 6
Weak, 7, 2
Pseudo, 7, 1
True, 7, 3
Quantum, 7, 7
Weak, 8, 3
Pseudo, 8, 5
True, 8, 3
Quantum, 8, 9
Weak, 9, 8
Pseudo, 9, 1
True, 9, 6
Quantum, 9, 7
Weak, 10, 1
Pseudo, 10, 7
True, 10, 2
Quantum, 10, 3
