generator, trial number, number
Weak, 1, 2
Pseudo, 1, 4
True, 1, 6
Quantum, 1, 5
Weak, 2, 10
Pseudo, 2, 3
True, 2, 1
Quantum, 2, 7
Weak, 3, 1
Pseudo, 3, 9
True, 3, 1
Quantum, 3, 7
Weak, 4, 9
Pseudo, 4, 3
True, 4, 4
Quantum, 4, 9
Weak, 5, 2
Pseudo, 5, 8
True, 5, 3
Quantum, 5, 4
Weak, 6, 8
Pseudo, 6, 7
True, 6, 7
Quantum, 6, 2
Weak, 7, 6
Pseudo, 7, 9
True, 7, 1
Quantum, 7, 8
Weak, 8, 8
Pseudo, 8, 5
True, 8, 7
Quantum, 8, 6
Weak, 9, 5
Pseudo, 9, 6
True, 9, 5
Quantum, 9, 5
Weak, 10, 6
Pseudo, 10, 7
True, 10, 3
Quantum, 10, 3
