generator, trial number, number
Weak, 1, 4
Pseudo, 1, 7
True, 1, 9
Quantum, 1, 6
Weak, 2, 2
Pseudo, 2, 4
True, 2, 5
Quantum, 2, 9
Weak, 3, 2
Pseudo, 3, 1
True, 3, 8
Quantum, 3, 2
Weak, 4, 3
Pseudo, 4, 5
True, 4, 1
Quantum, 4, 3
Weak, 5, 4
Pseudo, 5, 5
True, 5, 10
Quantum, 5, 3
Weak, 6, 4
Pseudo, 6, 1
True, 6, 1
Quantum, 6, 7
Weak, 7, 1
Pseudo, 7, 7
True, 7, 6
Quantum, 7, 5
Weak, 8, 9
Pseudo, 8, 4
True, 8, 10
Quantum, 8, 4
Weak, 9, 6
Pseudo, 9, 7
True, 9, 7
Quantum, 9, 5
Weak, 10, 7
Pseudo, 10, 2
True, 10, 1
Quantum, 10, 4
