generator, trial number, number
Weak, 1, 2
Pseudo, 1, 3
True, 1, 2
Quantum, 1, 5
Weak, 2, 6
Pseudo, 2, 7
True, 2, 8
Quantum, 2, 3
Weak, 3, 3
Pseudo, 3, 2
True, 3, 3
Quantum, 3, 9
Weak, 4, 4
Pseudo, 4, 6
True, 4, 10
Quantum, 4, 8
Weak, 5, 2
Pseudo, 5, 7
True, 5, 9
Quantum, 5, 10
Weak, 6, 5
Pseudo, 6, 1
True, 6, 6
Quantum, 6, 7
Weak, 7, 7
Pseudo, 7, 3
True, 7, 8
Quantum, 7, 10
Weak, 8, 3
Pseudo, 8, 3
True, 8, 5
Quantum, 8, 4
Weak, 9, 8
Pseudo, 9, 3
True, 9, 5
Quantum, 9, 9
Weak, 10, 1
Pseudo, 10, 5
True, 10, 2
Quantum, 10, 7
