Trial Index,Average P-Value,Generator
0,NaN,Weak Generator
1,0.997229805431897,Weak Generator
2,0.9929634936922771,Weak Generator
3,0.9966823907734147,Weak Generator
4,0.9840701994988924,Weak Generator
5,0.9842962467991491,Weak Generator
6,0.9905080253442389,Weak Generator
7,0.9929735553120297,Weak Generator
8,0.9798740549964404,Weak Generator
9,0.9798474316768184,Weak Generator
10,0.9551038219314778,Weak Generator
11,0.9713627064186224,Weak Generator
12,0.9758297622519557,Weak Generator
13,0.9800480436027045,Weak Generator
14,0.975231216183185,Weak Generator
15,0.9783233058423018,Weak Generator
16,0.9810807770444393,Weak Generator
17,0.982249629944773,Weak Generator
18,0.9838712507100789,Weak Generator
19,0.9854266707609416,Weak Generator
20,0.9854809905732662,Weak Generator
21,0.9867301534048506,Weak Generator
22,0.9877334902995493,Weak Generator
23,0.9874624987034276,Weak Generator
24,0.9879235391960123,Weak Generator
25,0.9877811128756983,Weak Generator
26,0.9887849639456754,Weak Generator
27,0.9894796062721711,Weak Generator
28,0.989845408006234,Weak Generator
29,0.9894285756822253,Weak Generator
30,0.9895853291171568,Weak Generator
31,0.9804893900223456,Weak Generator
32,0.9809280051873749,Weak Generator
33,0.9773826436831792,Weak Generator
34,0.9804863420071704,Weak Generator
35,0.9812576971628861,Weak Generator
36,0.9824684461531703,Weak Generator
37,0.9832775783412891,Weak Generator
38,0.9840877261167918,Weak Generator
39,0.9851381682900949,Weak Generator
40,0.9846540162649522,Weak Generator
41,0.9855839595865344,Weak Generator
42,0.9854713617482083,Weak Generator
43,0.9852511061720068,Weak Generator
44,0.9851835468394302,Weak Generator
45,0.9861346423759951,Weak Generator
46,0.9867482371984453,Weak Generator
47,0.9858026352316404,Weak Generator
48,0.9857027457373794,Weak Generator
49,0.9862895951072976,Weak Generator
50,0.9849007311892746,Weak Generator
51,0.9848240599727551,Weak Generator
52,0.9858633385813449,Weak Generator
53,0.9865236520571741,Weak Generator
54,0.9872741666512856,Weak Generator
55,0.9875757057242966,Weak Generator
56,0.9881154247738769,Weak Generator
57,0.9879207817496057,Weak Generator
58,0.9859750893220329,Weak Generator
59,0.9869461876652901,Weak Generator
60,0.9872527983424867,Weak Generator
61,0.9878506661532523,Weak Generator
62,0.9878922706208397,Weak Generator
63,0.9879578356107845,Weak Generator
64,0.9880408790218635,Weak Generator
65,0.9886023271220927,Weak Generator
66,0.9888479199217808,Weak Generator
67,0.9889888734723002,Weak Generator
68,0.9893773784783856,Weak Generator
69,0.9897023558646928,Weak Generator
70,0.9898162349094928,Weak Generator
71,0.9900486865659275,Weak Generator
72,0.9901842435586491,Weak Generator
73,0.9891331455488811,Weak Generator
74,0.9898280057822358,Weak Generator
75,0.9901472090230413,Weak Generator
76,0.9901397377113555,Weak Generator
77,0.9903458096884595,Weak Generator
78,0.990567620434976,Weak Generator
79,0.9908211391202858,Weak Generator
80,0.9910240028657625,Weak Generator
81,0.9902185212138048,Weak Generator
82,0.9903483805665356,Weak Generator
83,0.9905102082111508,Weak Generator
84,0.9907949017848368,Weak Generator
85,0.9911237954224734,Weak Generator
86,0.9912877757115975,Weak Generator
87,0.9894341367092507,Weak Generator
88,0.9896050817129992,Weak Generator
89,0.9899348754067152,Weak Generator
90,0.9897155318376758,Weak Generator
91,0.9897617414229033,Weak Generator
92,0.9883969300858488,Weak Generator
93,0.9885705297218778,Weak Generator
94,0.9881817705174557,Weak Generator
95,0.9879573612636906,Weak Generator
96,0.9883951831662684,Weak Generator
97,0.9889384273912285,Weak Generator
98,0.9892932665461279,Weak Generator
99,0.989203244989226,Weak Generator
0,NaN,Pseudo Generator
1,0.752198041449315,Pseudo Generator
2,0.9234820559370654,Pseudo Generator
3,0.9487938358798732,Pseudo Generator
4,0.9680663386938657,Pseudo Generator
5,0.9750002335477799,Pseudo Generator
6,0.9794461478123265,Pseudo Generator
7,0.9825651734728843,Pseudo Generator
8,0.9869560930955594,Pseudo Generator
9,0.9787391476438694,Pseudo Generator
10,0.9768738905186216,Pseudo Generator
11,0.9775637311019797,Pseudo Generator
12,0.9814120202093412,Pseudo Generator
13,0.9847343873875991,Pseudo Generator
14,0.9830086266207745,Pseudo Generator
15,0.9678344930399081,Pseudo Generator
16,0.9730447818469496,Pseudo Generator
17,0.9758869980486009,Pseudo Generator
18,0.9740173351658046,Pseudo Generator
19,0.9738009289170274,Pseudo Generator
20,0.9072799623387763,Pseudo Generator
21,0.9093502188004058,Pseudo Generator
22,0.8963053268767733,Pseudo Generator
23,0.915793713076644,Pseudo Generator
24,0.9232421505714593,Pseudo Generator
25,0.9269203112285791,Pseudo Generator
26,0.934433010471767,Pseudo Generator
27,0.9418893415340436,Pseudo Generator
28,0.9456025123410826,Pseudo Generator
29,0.9497467336261413,Pseudo Generator
30,0.9531890064868604,Pseudo Generator
31,0.9569985964560822,Pseudo Generator
32,0.9569397298474484,Pseudo Generator
33,0.9597085602937656,Pseudo Generator
34,0.9619231317530123,Pseudo Generator
35,0.9643260183095308,Pseudo Generator
36,0.9664869109892028,Pseudo Generator
37,0.9685874704534061,Pseudo Generator
38,0.9549484665811808,Pseudo Generator
39,0.9565023502972363,Pseudo Generator
40,0.9590034691694816,Pseudo Generator
41,0.9611322027861535,Pseudo Generator
42,0.9626418148862685,Pseudo Generator
43,0.9636886938824207,Pseudo Generator
44,0.9615390279831352,Pseudo Generator
45,0.9632554488571892,Pseudo Generator
46,0.9647798755609948,Pseudo Generator
47,0.9667675397734462,Pseudo Generator
48,0.9671546691434356,Pseudo Generator
49,0.9687450698081065,Pseudo Generator
50,0.9696516453503107,Pseudo Generator
51,0.9708028701304561,Pseudo Generator
52,0.9714975146127247,Pseudo Generator
53,0.9725333373986876,Pseudo Generator
54,0.9730600204916606,Pseudo Generator
55,0.9710295181478907,Pseudo Generator
56,0.9725549589193871,Pseudo Generator
57,0.9736167845426846,Pseudo Generator
58,0.9747516546549105,Pseudo Generator
59,0.9733605214264393,Pseudo Generator
60,0.9742850353795383,Pseudo Generator
61,0.9753307697995084,Pseudo Generator
62,0.9750168875657441,Pseudo Generator
