Trial Index,Average Statistic,Generator
0,NaN,Weak Generator
1,8.602117652956363,Weak Generator
2,9.948204723375445,Weak Generator
3,9.886094110974765,Weak Generator
4,7.642096122246953,Weak Generator
5,8.610919890360861,Weak Generator
6,9.433714188745908,Weak Generator
7,8.789118083857309,Weak Generator
8,10.70814398942351,Weak Generator
9,10.038992484207428,Weak Generator
10,11.085428205765444,Weak Generator
11,11.016444156530364,Weak Generator
12,10.292006579721386,Weak Generator
13,9.667723908326591,Weak Generator
14,12.429910983571633,Weak Generator
15,12.516622077813272,Weak Generator
16,12.270130095717898,Weak Generator
17,11.623639758229395,Weak Generator
18,12.070527641687608,Weak Generator
19,12.295370412337883,Weak Generator
20,12.266189305063936,Weak Generator
21,12.279295151573224,Weak Generator
22,12.7991485852352,Weak Generator
23,13.123373699019043,Weak Generator
24,12.89404798575336,Weak Generator
25,12.865514978692751,Weak Generator
26,12.571755205989326,Weak Generator
27,13.076366770896094,Weak Generator
28,12.914442409334168,Weak Generator
29,12.95299804764869,Weak Generator
30,13.216755546126537,Weak Generator
31,13.581699704144814,Weak Generator
32,13.727724644161801,Weak Generator
33,12.991891271350925,Weak Generator
34,12.862190507585353,Weak Generator
35,12.751304763218695,Weak Generator
36,12.699146144242787,Weak Generator
37,12.519612960550171,Weak Generator
38,12.335548471041273,Weak Generator
39,12.60796347001763,Weak Generator
40,12.268424307318032,Weak Generator
41,11.982543825002997,Weak Generator
42,12.013076738887307,Weak Generator
43,11.7576216194452,Weak Generator
44,11.549661945944424,Weak Generator
45,11.554371121151409,Weak Generator
46,11.847163877973097,Weak Generator
47,11.955078683837824,Weak Generator
48,11.549308641164322,Weak Generator
49,11.349179652048354,Weak Generator
50,11.279943732486377,Weak Generator
51,11.323573139139906,Weak Generator
52,11.307171312651175,Weak Generator
53,11.208734495876325,Weak Generator
54,11.25110627382045,Weak Generator
55,11.12641376182943,Weak Generator
56,11.129178522483688,Weak Generator
57,11.00194582251391,Weak Generator
58,11.350487584250654,Weak Generator
59,11.310513122166997,Weak Generator
60,11.330231113530115,Weak Generator
61,11.464715579829079,Weak Generator
62,11.253454805386461,Weak Generator
63,11.315566456560674,Weak Generator
64,11.328380587556195,Weak Generator
65,11.297451131924328,Weak Generator
66,11.183182498832355,Weak Generator
67,11.286923542554565,Weak Generator
68,11.27302608868303,Weak Generator
69,11.10455254086689,Weak Generator
70,11.208993889691214,Weak Generator
71,11.284662925304238,Weak Generator
72,11.727603121322197,Weak Generator
73,11.480117229458854,Weak Generator
74,11.352936693344423,Weak Generator
75,11.275780198541897,Weak Generator
76,11.420556424052405,Weak Generator
77,11.218328069014579,Weak Generator
78,11.292842938939787,Weak Generator
79,11.32944702914211,Weak Generator
80,11.434980893977562,Weak Generator
81,11.629499655964556,Weak Generator
82,11.543537856656647,Weak Generator
83,11.41787346067341,Weak Generator
84,11.567578435620835,Weak Generator
85,11.52779754088866,Weak Generator
86,11.622111925600914,Weak Generator
87,11.726251170391386,Weak Generator
88,11.777017976458229,Weak Generator
89,11.873915154706376,Weak Generator
90,11.827099824604812,Weak Generator
91,11.653187343932087,Weak Generator
92,11.847685040577442,Weak Generator
93,11.789528802545004,Weak Generator
94,11.976257029810645,Weak Generator
95,11.860312629136395,Weak Generator
96,11.814453150842104,Weak Generator
97,11.75133020414414,Weak Generator
98,11.869825911302435,Weak Generator
99,12.00992816861854,Weak Generator
0,NaN,Pseudo Generator
1,12.235260519675371,Pseudo Generator
2,10.869330638194903,Pseudo Generator
3,16.55591073323706,Pseudo Generator
4,15.3831496556489,Pseudo Generator
5,13.311761920126202,Pseudo Generator
6,12.017293799425586,Pseudo Generator
7,10.854513263896749,Pseudo Generator
8,13.708097600619485,Pseudo Generator
9,11.979171059100045,Pseudo Generator
10,11.938574979725223,Pseudo Generator
11,13.8051154480942,Pseudo Generator
12,13.659854846674213,Pseudo Generator
13,13.467323684244557,Pseudo Generator
14,12.91718449742635,Pseudo Generator
15,11.84935622748539,Pseudo Generator
16,11.400335202591489,Pseudo Generator
17,11.690808585681323,Pseudo Generator
18,12.5959714743508,Pseudo Generator
19,12.670267204416705,Pseudo Generator
20,13.941499834001092,Pseudo Generator
21,14.101805930928668,Pseudo Generator
22,13.580457459104936,Pseudo Generator
23,13.14647224113619,Pseudo Generator
24,13.516814600916243,Pseudo Generator
25,14.210618392750975,Pseudo Generator
26,13.887643303161557,Pseudo Generator
27,14.207449676859143,Pseudo Generator
28,14.344548057802141,Pseudo Generator
29,14.140483945429343,Pseudo Generator
30,14.01083580021041,Pseudo Generator
31,13.839184267741787,Pseudo Generator
32,14.158199378124616,Pseudo Generator
33,14.387500693915007,Pseudo Generator
34,14.402572688482259,Pseudo Generator
35,14.404563925091946,Pseudo Generator
36,14.208431993705645,Pseudo Generator
37,13.91448090175697,Pseudo Generator
38,14.389906810704382,Pseudo Generator
39,13.783109024595538,Pseudo Generator
40,13.99474341966599,Pseudo Generator
41,13.93018946170743,Pseudo Generator
42,14.301561914784594,Pseudo Generator
43,14.245579193752784,Pseudo Generator
44,14.132457968263163,Pseudo Generator
45,14.101653377456536,Pseudo Generator
46,14.132631753795126,Pseudo Generator
47,13.901236455886071,Pseudo Generator
48,13.804605643784933,Pseudo Generator
49,13.89970591229235,Pseudo Generator
50,14.167963935851168,Pseudo Generator
51,14.000249050720369,Pseudo Generator
52,13.851761496290957,Pseudo Generator
53,14.063740549614709,Pseudo Generator
54,14.048578180515616,Pseudo Generator
55,14.026880826428009,Pseudo Generator
56,14.14539752625142,Pseudo Generator
57,13.88743524855014,Pseudo Generator
58,13.707271256161121,Pseudo Generator
59,13.465957837922709,Pseudo Generator
60,13.271095848622169,Pseudo Generator
61,13.241512183105474,Pseudo Generator
62,13.12451163240622,Pseudo Generator
63,12.97191187017193,Pseudo Generator
64,13.218748237205633,Pseudo Generator
65,13.018050629498301,Pseudo Generator
66,12.821773612939689,Pseudo Generator
67,12.896881875129921,Pseudo Generator
68,12.961201905545984,Pseudo Generator
69,13.039019689842963,Pseudo Generator
70,12.947846853446286,Pseudo Generator
71,12.593203500030944,Pseudo Generator
72,12.519196661838858,Pseudo Generator
73,12.779115438559966,Pseudo Generator
74,12.794194482559,Pseudo Generator
75,12.617359803070487,Pseudo Generator
76,12.860082866215958,Pseudo Generator
77,12.926665669490076,Pseudo Generator
78,12.977228503069012,Pseudo Generator
79,12.957666816868928,Pseudo Generator
80,13.07922584883622,Pseudo Generator
81,13.124446648601973,Pseudo Generator
82,13.250603483622326,Pseudo Generator
83,13.200451764430147,Pseudo Generator
84,13.274043955887898,Pseudo Generator
85,13.471029943848777,Pseudo Generator
86,13.462150952513174,Pseudo Generator
87,13.188202476190714,Pseudo Generator
88,13.095721578394471,Pseudo Generator
89,13.148422996577771,Pseudo Generator
90,13.18589629579834,Pseudo Generator
91,13.192707736999877,Pseudo Generator
92,13.034364778778203,Pseudo Generator
93,13.384610857920592,Pseudo Generator
94,13.764501001287762,Pseudo Generator
95,13.800124002862544,Pseudo Generator
96,13.86051557542123,Pseudo Generator
97,13.799894315876374,Pseudo Generator
98,13.793285049290715,Pseudo Generator
99,13.697869648807794,Pseudo Generator
0,NaN,True Generator
1,13.368202948808607,True Generator
2,10.063186518993955,True Generator
3,12.018958770294548,True Generator
4,11.413169133220682,True Generator
5,12.791277914480101,True Generator
6,13.172919434559702,True Generator
7,13.159881920000988,True Generator
8,12.151986448124728,True Generator
9,12.781738499026165,True Generator
10,14.46724632860031,True Generator
11,15.137154312532969,True Generator
12,14.638657095241848,True Generator
13,14.159379970895499,True Generator
14,13.953216310862915,True Generator
15,13.54613754840195,True Generator
16,14.486280604070497,True Generator
17,14.36728515957941,True Generator
18,14.021748511256074,True Generator
19,14.447529924094965,True Generator
20,14.33420856650549,True Generator
21,14.589191683966165,True Generator
22,15.005698933834987,True Generator
23,15.529331213764483,True Generator
24,15.120210652117438,True Generator
25,14.76485086814895,True Generator
26,14.53926993429346,True Generator
27,14.393262853563602,True Generator
28,14.318833168167746,True Generator
29,14.063361765501858,True Generator
30,13.712266268024555,True Generator
31,13.100881053893755,True Generator
32,13.45172957983926,True Generator
33,14.3460109974716,True Generator
34,13.998883111466556,True Generator
35,14.241573998331802,True Generator
36,13.962183233147986,True Generator
37,14.21580397345058,True Generator
38,14.23339740842668,True Generator
39,14.581475305697262,True Generator
40,14.564425979924678,True Generator
41,14.15592646406341,True Generator
42,14.527853975209712,True Generator
43,14.665543112197536,True Generator
44,14.548447691290153,True Generator
45,14.373702369690287,True Generator
46,14.524657624668388,True Generator
47,14.573680727657717,True Generator
48,14.807207831776372,True Generator
49,15.11907507275467,True Generator
50,15.399771171225552,True Generator
51,15.656277289452136,True Generator
52,15.9965990987253,True Generator
53,15.555523814749662,True Generator
54,15.68335509015845,True Generator
55,15.68946953810521,True Generator
56,15.591714209706234,True Generator
57,15.68418491631474,True Generator
58,15.830720452940794,True Generator
59,15.695754463200858,True Generator
60,15.565170023019313,True Generator
61,15.557968295567713,True Generator
62,15.407600508154577,True Generator
63,14.984784983382232,True Generator
64,14.783891181860433,True Generator
65,14.778335330381935,True Generator
66,14.807996032247464,True Generator
67,15.04051811613767,True Generator
68,14.950643973220389,True Generator
69,15.073952855171594,True Generator
70,15.298962898932567,True Generator
71,15.12569910241583,True Generator
72,14.955254568716084,True Generator
73,14.930489515572486,True Generator
74,14.91599815449189,True Generator
75,15.221864126578403,True Generator
76,14.974894826905489,True Generator
77,15.017982921742865,True Generator
78,14.925120067300485,True Generator
79,15.039540102254028,True Generator
80,14.865490419348223,True Generator
81,14.669804060997318,True Generator
82,14.580389559496076,True Generator
83,14.418803825383751,True Generator
84,14.448395260528942,True Generator
85,14.402940703629369,True Generator
86,14.417035825342136,True Generator
87,14.61543948348476,True Generator
88,14.480370216452012,True Generator
89,14.622829738533943,True Generator
90,14.698626718713248,True Generator
91,14.952551504568886,True Generator
92,14.934917518617024,True Generator
93,14.948932032892703,True Generator
94,15.203916931686798,True Generator
95,15.116042169146457,True Generator
96,14.907101397378526,True Generator
97,14.697307375648045,True Generator
98,14.95398652817857,True Generator
99,15.012113334938126,True Generator
0,NaN,Quantum Generator
1,13.44131914600949,Quantum Generator
2,10.965365103823757,Quantum Generator
3,12.249938401930706,Quantum Generator
4,12.532504393233285,Quantum Generator
5,12.121918279736281,Quantum Generator
6,13.349383184021349,Quantum Generator
7,11.93164803414388,Quantum Generator
8,13.127980087759173,Quantum Generator
9,13.573631241195919,Quantum Generator
10,13.780379988898858,Quantum Generator
11,13.360768301877114,Quantum Generator
12,13.530244728600413,Quantum Generator
13,13.283454967871146,Quantum Generator
14,13.27964394469412,Quantum Generator
15,13.250455854716064,Quantum Generator
16,14.602743121121383,Quantum Generator
17,13.452842006270405,Quantum Generator
18,14.008092809197215,Quantum Generator
19,13.505270095006297,Quantum Generator
20,13.460370305671054,Quantum Generator
21,14.192278790871875,Quantum Generator
22,13.842033572823546,Quantum Generator
23,13.606210575523434,Quantum Generator
24,13.352477431829028,Quantum Generator
25,14.323054772016196,Quantum Generator
26,14.962566885783142,Quantum Generator
27,14.237892943830987,Quantum Generator
28,14.017427264497178,Quantum Generator
29,13.544751865870968,Quantum Generator
30,13.42068087106649,Quantum Generator
31,13.503922231146348,Quantum Generator
32,13.379850782919798,Quantum Generator
33,13.43852243875343,Quantum Generator
34,13.797316645963091,Quantum Generator
35,14.41947092167736,Quantum Generator
36,14.523372892790348,Quantum Generator
37,14.493320086173563,Quantum Generator
38,14.236036436460159,Quantum Generator
39,14.43543747397383,Quantum Generator
40,14.219557736754677,Quantum Generator
41,14.073716233106211,Quantum Generator
42,13.375547061276666,Quantum Generator
43,13.630773330790833,Quantum Generator
44,13.634951108870393,Quantum Generator
45,13.585365141509227,Quantum Generator
46,13.894939804945068,Quantum Generator
47,14.415497499161736,Quantum Generator
48,14.497822199889105,Quantum Generator
49,14.520980405486018,Quantum Generator
50,14.238545517326607,Quantum Generator
51,14.347967822170036,Quantum Generator
52,14.17122515992286,Quantum Generator
53,14.309823489975397,Quantum Generator
54,14.17793567340813,Quantum Generator
55,14.204500026085146,Quantum Generator
56,14.49934830180811,Quantum Generator
57,14.091640305568866,Quantum Generator
58,14.122998195064078,Quantum Generator
59,14.442434410763545,Quantum Generator
60,14.210503536500973,Quantum Generator
61,14.571132714466176,Quantum Generator
62,14.81586033271635,Quantum Generator
63,14.866142287034462,Quantum Generator
64,14.478502473974979,Quantum Generator
65,14.578138586728015,Quantum Generator
66,14.737834729455603,Quantum Generator
67,14.71083834475514,Quantum Generator
68,14.612171301522297,Quantum Generator
69,14.725326154907505,Quantum Generator
70,14.842936566670142,Quantum Generator
71,14.62117412742041,Quantum Generator
72,14.522827969357978,Quantum Generator
73,14.834083281067876,Quantum Generator
74,14.894692045475043,Quantum Generator
75,14.865746627193563,Quantum Generator
76,15.205319130617896,Quantum Generator
77,15.332697706238466,Quantum Generator
78,15.587285940336628,Quantum Generator
79,15.329160359435356,Quantum Generator
80,15.231390630228535,Quantum Generator
81,15.11942587912604,Quantum Generator
82,14.985288290213461,Quantum Generator
83,14.861592048946108,Quantum Generator
84,15.407706126549002,Quantum Generator
85,15.3408896150187,Quantum Generator
86,15.250470036905652,Quantum Generator
87,15.326842711910382,Quantum Generator
88,15.23201865940083,Quantum Generator
89,15.140654657920457,Quantum Generator
90,14.85724133602404,Quantum Generator
91,14.833554986605048,Quantum Generator
92,14.741896947471831,Quantum Generator
93,14.946808207780546,Quantum Generator
94,14.965507815111769,Quantum Generator
95,15.016197839358778,Quantum Generator
96,14.85519917859309,Quantum Generator
97,14.893036856156252,Quantum Generator
98,14.772193084678111,Quantum Generator
99,14.820498496954931,Quantum Generator
