Trial Index,Average P-Value,Generator
0,NaN,Weak Generator
1,0.40656965974059894,Weak Generator
2,0.40656965974059894,Weak Generator
3,0.450528057456439,Weak Generator
4,0.33909428973464983,Weak Generator
5,0.41433615699564097,Weak Generator
6,0.46235532659801765,Weak Generator
7,0.5384293315183604,Weak Generator
8,0.5327474156631414,Weak Generator
9,0.4525037539252079,Weak Generator
10,0.41746733881496656,Weak Generator
11,0.3923482659935164,Weak Generator
12,0.39149488789581366,Weak Generator
13,0.385339755824949,Weak Generator
14,0.383447886479039,Weak Generator
15,0.39411754976620766,Weak Generator
16,0.4029231444895683,Weak Generator
17,0.40486198571304116,Weak Generator
18,0.4161840212750904,Weak Generator
19,0.4186033282855525,Weak Generator
20,0.43281585657655164,Weak Generator
21,0.44768832890159344,Weak Generator
22,0.45153769267603416,Weak Generator
23,0.453942363707802,Weak Generator
24,0.45611228489509026,Weak Generator
25,0.4436263601846426,Weak Generator
26,0.45348784659070496,Weak Generator
27,0.46285722966156734,Weak Generator
28,0.4630078890942624,Weak Generator
29,0.46186743003261277,Weak Generator
30,0.4536287618200695,Weak Generator
31,0.4444229759322767,Weak Generator
32,0.4445210314223823,Weak Generator
33,0.44233767458109524,Weak Generator
34,0.4465023905934329,Weak Generator
35,0.44911609900284766,Weak Generator
36,0.4550891168738187,Weak Generator
37,0.4567827099538497,Weak Generator
38,0.4589095489543664,Weak Generator
39,0.4560310528829753,Weak Generator
40,0.45182512072933756,Weak Generator
41,0.44548832247770576,Weak Generator
42,0.4299689934964938,Weak Generator
43,0.4287870529856531,Weak Generator
44,0.42673579960980923,Weak Generator
45,0.43203638203250955,Weak Generator
46,0.43745672367642113,Weak Generator
47,0.43125436274780027,Weak Generator
48,0.42599387826292556,Weak Generator
49,0.42441429107124506,Weak Generator
50,0.4160085255629326,Weak Generator
51,0.41758807020305366,Weak Generator
52,0.423043679729876,Weak Generator
53,0.42325340973985837,Weak Generator
54,0.426316329357767,Weak Generator
55,0.4280690123170712,Weak Generator
56,0.43153468183651944,Weak Generator
57,0.4301731408643965,Weak Generator
58,0.4271710510888575,Weak Generator
59,0.42850727092793967,Weak Generator
60,0.42497858326926247,Weak Generator
61,0.4279687108461794,Weak Generator
62,0.4273942559529711,Weak Generator
63,0.43012955873833564,Weak Generator
64,0.4305859122009998,Weak Generator
65,0.43260830311080334,Weak Generator
66,0.4293925062471576,Weak Generator
67,0.4289247329331641,Weak Generator
68,0.432550997804482,Weak Generator
69,0.43273274394690786,Weak Generator
70,0.4343090594683082,Weak Generator
71,0.43857172414782486,Weak Generator
72,0.4423118904209662,Weak Generator
73,0.43878660243712453,Weak Generator
74,0.4411360033945034,Weak Generator
75,0.4423442823248794,Weak Generator
76,0.44199361455610053,Weak Generator
77,0.4439544902981899,Weak Generator
78,0.44341942677051255,Weak Generator
79,0.44358231007079507,Weak Generator
80,0.4448822570863199,Weak Generator
81,0.44625018016638296,Weak Generator
82,0.44512254277016505,Weak Generator
83,0.44461749427734537,Weak Generator
84,0.44580045340476804,Weak Generator
85,0.4491624230233534,Weak Generator
86,0.4520922869468987,Weak Generator
87,0.44610073142951046,Weak Generator
88,0.4469035042380358,Weak Generator
89,0.4473689162172004,Weak Generator
90,0.4478174126674187,Weak Generator
91,0.448398870966137,Weak Generator
92,0.4483443359954484,Weak Generator
93,0.44998948516349624,Weak Generator
94,0.4495892867932036,Weak Generator
95,0.4494522517964556,Weak Generator
96,0.4488706474541183,Weak Generator
97,0.4512889988248112,Weak Generator
98,0.4496056146084592,Weak Generator
99,0.4514615664287063,Weak Generator
0,NaN,Pseudo Generator
1,0.20189651799465544,Pseudo Generator
2,0.2701208985766366,Pseudo Generator
3,0.2701208985766366,Pseudo Generator
4,0.2837657746930329,Pseudo Generator
5,0.3482118604487892,Pseudo Generator
6,0.35937353324918864,Pseudo Generator
7,0.3406853340156361,Pseudo Generator
8,0.3674339745434373,Pseudo Generator
9,0.3622426176882914,Pseudo Generator
10,0.3836580205431063,Pseudo Generator
11,0.3785791552641371,Pseudo Generator
12,0.3772200872562627,Pseudo Generator
13,0.4045997304722702,Pseudo Generator
14,0.40123230119842757,Pseudo Generator
15,0.3728188369020363,Pseudo Generator
16,0.38045873922259166,Pseudo Generator
17,0.390237721898414,Pseudo Generator
18,0.3945357160569032,Pseudo Generator
19,0.3701519927460066,Pseudo Generator
20,0.3500136574925771,Pseudo Generator
21,0.35489542184006606,Pseudo Generator
22,0.33928051303946816,Pseudo Generator
23,0.3474070251364397,Pseudo Generator
24,0.35840170175969027,Pseudo Generator
25,0.3668936127601639,Pseudo Generator
26,0.3791833293750276,Pseudo Generator
27,0.39183987326589115,Pseudo Generator
28,0.39704636740392957,Pseudo Generator
29,0.40245320524993294,Pseudo Generator
30,0.40081871715101003,Pseudo Generator
31,0.4077903820743204,Pseudo Generator
32,0.4105527564573326,Pseudo Generator
33,0.41992610405890984,Pseudo Generator
