Trial Index,Average Statistic,Generator
0,NaN,Weak Generator
1,0.30000000000000004,Weak Generator
2,0.30000000000000004,Weak Generator
3,0.2833333333333334,Weak Generator
4,0.34,Weak Generator
5,0.3066666666666667,Weak Generator
6,0.2857142857142858,Weak Generator
7,0.2535714285714286,Weak Generator
8,0.25555555555555554,Weak Generator
9,0.30444444444444446,Weak Generator
10,0.3181818181818181,Weak Generator
11,0.3318181818181816,Weak Generator
12,0.3307692307692307,Weak Generator
13,0.334065934065934,Weak Generator
14,0.3323809523809523,Weak Generator
15,0.32666666666666655,Weak Generator
16,0.3213235294117644,Weak Generator
17,0.3196078431372546,Weak Generator
18,0.3134502923976606,Weak Generator
19,0.31210526315789455,Weak Generator
20,0.3052380952380951,Weak Generator
21,0.2982683982683982,Weak Generator
22,0.29604743083003954,Weak Generator
23,0.2949275362318842,Weak Generator
24,0.2936666666666669,Weak Generator
25,0.30030769230769266,Weak Generator
26,0.29572649572649606,Weak Generator
27,0.2912698412698417,Weak Generator
28,0.2911330049261088,Weak Generator
29,0.29126436781609233,Weak Generator
30,0.29548387096774237,Weak Generator
31,0.29979838709677453,Weak Generator
32,0.2996212121212123,Weak Generator
33,0.3005347593582891,Weak Generator
34,0.29865546218487404,Weak Generator
35,0.29746031746031765,Weak Generator
36,0.2945945945945947,Weak Generator
37,0.2937411095305832,Weak Generator
38,0.29271255060728746,Weak Generator
39,0.2939743589743591,Weak Generator
40,0.2959756097560979,Weak Generator
41,0.29918699186991904,Weak Generator
42,0.3099667774086381,Weak Generator
43,0.3107822410147991,Weak Generator
44,0.3118181818181817,Weak Generator
45,0.30917874396135264,Weak Generator
46,0.30647548566142446,Weak Generator
47,0.30957446808510614,Weak Generator
48,0.31198979591836695,Weak Generator
49,0.3125714285714281,Weak Generator
50,0.3174117647058818,Weak Generator
51,0.3162895927601805,Weak Generator
52,0.31364296081277154,Weak Generator
53,0.3132774283717673,Weak Generator
54,0.31171717171717106,Weak Generator
55,0.31084415584415526,Weak Generator
56,0.30908521303258085,Weak Generator
57,0.30980036297640595,Weak Generator
58,0.311104617182933,Weak Generator
59,0.3103389830508465,Weak Generator
60,0.3121857923497259,Weak Generator
61,0.3106292966684285,Weak Generator
62,0.3108550947260616,Weak Generator
63,0.30942460317460213,Weak Generator
64,0.3090384615384606,Weak Generator
65,0.308018648018647,Weak Generator
66,0.3096788783355934,Weak Generator
67,0.30970149253731216,Weak Generator
68,0.3078431372549006,Weak Generator
69,0.30770186335403565,Weak Generator
70,0.3069617706237405,Weak Generator
71,0.3048904538341143,Weak Generator
72,0.30304414003044017,Weak Generator
73,0.30496112550906945,Weak Generator
74,0.3037477477477465,Weak Generator
75,0.30308771929824446,Weak Generator
76,0.30314422419685466,Weak Generator
77,0.3021645021645014,Weak Generator
78,0.30230444660824324,Weak Generator
79,0.30218354430379657,Weak Generator
80,0.3014814814814806,Weak Generator
81,0.30069256248117937,Weak Generator
82,0.3012048192771074,Weak Generator
83,0.30137693631669454,Weak Generator
84,0.300756302521008,Weak Generator
85,0.2991792065663473,Weak Generator
86,0.2977546110665596,Weak Generator
87,0.30117554858934203,Weak Generator
88,0.3006639427987747,Weak Generator
89,0.3003495630461929,Weak Generator
90,0.30009768009768084,Weak Generator
91,0.29980888676540923,Weak Generator
92,0.2996026180458169,Weak Generator
93,0.2987874628231539,Weak Generator
94,0.2987458006718937,Weak Generator
95,0.2988157894736858,Weak Generator
96,0.2989905498281806,Weak Generator
97,0.2978329476120361,Weak Generator
98,0.2985982271696576,Weak Generator
99,0.2976565656565677,Weak Generator
0,NaN,Pseudo Generator
1,0.39999999999999997,Pseudo Generator
2,0.3666666666666667,Pseudo Generator
3,0.36666666666666664,Pseudo Generator
4,0.36,Pseudo Generator
5,0.3333333333333333,Pseudo Generator
6,0.3285714285714285,Pseudo Generator
7,0.33928571428571436,Pseudo Generator
8,0.3305555555555556,Pseudo Generator
9,0.3333333333333334,Pseudo Generator
10,0.3236363636363637,Pseudo Generator
11,0.32878787878787885,Pseudo Generator
12,0.3294871794871794,Pseudo Generator
13,0.3164835164835164,Pseudo Generator
14,0.3171428571428571,Pseudo Generator
15,0.33499999999999985,Pseudo Generator
16,0.3308823529411763,Pseudo Generator
17,0.32614379084967304,Pseudo Generator
18,0.3228070175438595,Pseudo Generator
19,0.3399999999999999,Pseudo Generator
20,0.3519047619047618,Pseudo Generator
21,0.34848484848484856,Pseudo Generator
22,0.3596837944664032,Pseudo Generator
23,0.3554347826086957,Pseudo Generator
24,0.3490000000000001,Pseudo Generator
25,0.3436923076923077,Pseudo Generator
26,0.3373219373219375,Pseudo Generator
27,0.3309523809523812,Pseudo Generator
28,0.32783251231527083,Pseudo Generator
29,0.3248275862068965,Pseudo Generator
30,0.32516129032258073,Pseudo Generator
31,0.3219758064516128,Pseudo Generator
32,0.3202651515151514,Pseudo Generator
33,0.31568627450980363,Pseudo Generator
34,0.3124369747899156,Pseudo Generator
35,0.3088888888888885,Pseudo Generator
36,0.30585585585585534,Pseudo Generator
37,0.3048364153627305,Pseudo Generator
38,0.3141700404858293,Pseudo Generator
39,0.31448717948717886,Pseudo Generator
40,0.3131707317073166,Pseudo Generator
41,0.31416957026713094,Pseudo Generator
42,0.3133997785160574,Pseudo Generator
43,0.3121564482029597,Pseudo Generator
44,0.31202020202020186,Pseudo Generator
45,0.30966183574879225,Pseudo Generator
46,0.31147086031452365,Pseudo Generator
47,0.3083333333333332,Pseudo Generator
48,0.30782312925170036,Pseudo Generator
49,0.3082448979591832,Pseudo Generator
50,0.3065882352941171,Pseudo Generator
51,0.3052790346907988,Pseudo Generator
52,0.3088534107402025,Pseudo Generator
53,0.30789657582110336,Pseudo Generator
54,0.3092255892255885,Pseudo Generator
55,0.30980519480519403,Pseudo Generator
56,0.3077067669172924,Pseudo Generator
57,0.30653357531760345,Pseudo Generator
58,0.3068965517241368,Pseudo Generator
59,0.3093785310734452,Pseudo Generator
60,0.3080874316939878,Pseudo Generator
61,0.3065044949762018,Pseudo Generator
62,0.3071172555043508,Pseudo Generator
63,0.3058035714285702,Pseudo Generator
64,0.30456730769230694,Pseudo Generator
65,0.3053146853146847,Pseudo Generator
66,0.30556309362279477,Pseudo Generator
67,0.3066286215978924,Pseudo Generator
68,0.30562659846547285,Pseudo Generator
69,0.3064182194616972,Pseudo Generator
70,0.3057947686116695,Pseudo Generator
71,0.30723787167449057,Pseudo Generator
72,0.30787671232876634,Pseudo Generator
73,0.30725657164013276,Pseudo Generator
74,0.3081801801801795,Pseudo Generator
75,0.306666666666666,Pseudo Generator
76,0.3053315105946681,Pseudo Generator
77,0.30479520479520456,Pseudo Generator
78,0.30535540408958095,Pseudo Generator
79,0.30449367088607565,Pseudo Generator
80,0.3030864197530863,Pseudo Generator
81,0.30234869015356813,Pseudo Generator
82,0.30076403173670313,Pseudo Generator
83,0.2999426276534715,Pseudo Generator
84,0.2982913165266112,Pseudo Generator
85,0.2984678522571826,Pseudo Generator
86,0.2978348035284693,Pseudo Generator
87,0.298171368861025,Pseudo Generator
88,0.2984167517875393,Pseudo Generator
89,0.2982771535580538,Pseudo Generator
90,0.29831501831501983,Pseudo Generator
91,0.2971094123268052,Pseudo Generator
92,0.2968676951846672,Pseudo Generator
93,0.2971859986273178,Pseudo Generator
94,0.29849944008958745,Pseudo Generator
95,0.2980263157894755,Pseudo Generator
96,0.29630584192440046,Pseudo Generator
97,0.29648642962339766,Pseudo Generator
98,0.29511440940012584,Pseudo Generator
99,0.2946868686868709,Pseudo Generator
0,NaN,True Generator
1,0.39999999999999997,True Generator
2,0.4666666666666666,True Generator
3,0.3999999999999999,True Generator
4,0.38,True Generator
5,0.37333333333333324,True Generator
6,0.35238095238095235,True Generator
7,0.332142857142857,True Generator
8,0.32499999999999996,True Generator
9,0.32000000000000006,True Generator
10,0.33818181818181836,True Generator
11,0.3242424242424242,True Generator
12,0.3192307692307692,True Generator
13,0.323076923076923,True Generator
14,0.3247619047619046,True Generator
15,0.31916666666666654,True Generator
16,0.31764705882352934,True Generator
17,0.3117647058823529,True Generator
18,0.3105263157894736,True Generator
19,0.3089473684210527,True Generator
20,0.3061904761904762,True Generator
21,0.30735930735930755,True Generator
22,0.30355731225296473,True Generator
23,0.30688405797101476,True Generator
24,0.305666666666667,True Generator
25,0.30307692307692347,True Generator
26,0.30569800569800604,True Generator
27,0.3055555555555559,True Generator
28,0.30738916256157683,True Generator
29,0.3133333333333339,True Generator
30,0.3109677419354845,True Generator
31,0.31370967741935535,True Generator
32,0.3096590909090912,True Generator
33,0.31515151515151557,True Generator
34,0.31142857142857183,True Generator
35,0.31111111111111145,True Generator
36,0.3087087087087091,True Generator
37,0.3091038406827886,True Generator
38,0.306342780026991,True Generator
39,0.30346153846153884,True Generator
40,0.3068292682926834,True Generator
41,0.3061556329849017,True Generator
42,0.30786267995570354,True Generator
43,0.3050739957716705,True Generator
44,0.30747474747474773,True Generator
45,0.31739130434782636,True Generator
