Trial Index,P-Value,Generator
0,0.9999999989999999,Weak
1,0.9441372410859858,Weak
2,0.9627581603906572,Weak
3,0.7669967760517455,Weak
4,0.7161355475940842,Weak
5,0.6805020933831472,Weak
6,0.6007528871357228,Weak
7,0.5481228541231338,Weak
8,0.5983314257761189,Weak
9,0.5564695455020081,Weak
10,0.5222189161868265,Weak
11,0.5620340064212576,Weak
12,0.5957236981580839,Weak
13,0.5897927649870379,Weak
14,0.5839622354764662,Weak
15,0.5551056988623856,Weak
16,0.5330237532254811,Weak
17,0.5237286692267834,Weak
18,0.5487955813201106,Weak
19,0.5303414334058556,Weak
20,0.5136448233881963,Weak
21,0.5163950135847456,Weak
22,0.49925860645719916,Weak
23,0.5201228311464825,Weak
24,0.5139464075505801,Weak
25,0.5134998081189601,Weak
26,0.5130862901267194,Weak
27,0.5011800877305869,Weak
28,0.4900950027410843,Weak
29,0.48706747084077695,Weak
30,0.4727804946016032,Weak
31,0.4636221236151472,Weak
32,0.45501880541574913,Weak
33,0.4469215647574921,Weak
34,0.4627238057358495,Weak
35,0.4658189502351948,Weak
36,0.45808634679735205,Weak
37,0.4507607224878168,Weak
38,0.46484378085992406,Weak
39,0.47822268631342596,Weak
40,0.47881078719184145,Weak
41,0.49122005413965475,Weak
42,0.4839756952767561,Weak
43,0.4820505441507358,Weak
44,0.47858518667502054,Weak
45,0.4726613764113849,Weak
46,0.4664284242118876,Weak
47,0.4610047052605521,Weak
48,0.4597447938415992,Weak
49,0.4541441504254675,Weak
50,0.4550890655608203,Weak
51,0.45599763780635183,Weak
52,0.46626183330057164,Weak
53,0.46825974393782555,Weak
54,0.4688792908176553,Weak
55,0.47075910719077363,Weak
56,0.4713130671054699,Weak
57,0.478502057037651,Weak
58,0.47388490208019557,Weak
59,0.48079139509839186,Weak
60,0.4794549631415635,Weak
61,0.47816164189301996,Weak
62,0.478545343169773,Weak
63,0.48494736098230734,Weak
64,0.4852148603876328,Weak
65,0.4930146352150929,Weak
66,0.49864122435049446,Weak
67,0.49884783331244953,Weak
68,0.49422268533741415,Weak
69,0.4897296844473798,Weak
70,0.4899072216006345,Weak
71,0.4855989632872231,Weak
72,0.4926455528175351,Weak
73,0.49799188971421665,Weak
74,0.5046853311713604,Weak
75,0.5112026294322635,Weak
76,0.5110874631062401,Weak
77,0.5096538936527225,Weak
78,0.5073305463627329,Weak
79,0.5134889145206987,Weak
80,0.5120787926837995,Weak
81,0.5119599637770271,Weak
82,0.5127092293666085,Weak
83,0.5125857245209163,Weak
84,0.511252587123398,Weak
85,0.511148892183922,Weak
86,0.5076424671536216,Weak
87,0.5039159916522737,Weak
88,0.5002185598103027,Weak
89,0.5002420738382822,Weak
90,0.5057339191697297,Weak
91,0.5045766922845355,Weak
92,0.5010835302495943,Weak
93,0.5063911522575774,Weak
94,0.5063484540477972,Weak
95,0.5052330435445062,Weak
96,0.5052031649752686,Weak
97,0.5102521122612353,Weak
98,0.5101721396356518,Weak
99,0.5150704182292952,Weak
0,0.5741490077122815,Pseudo
1,0.48670902672207295,Pseudo
2,0.33919642029017893,Pseudo
3,0.26544011707423193,Pseudo
4,0.22118633514466374,Pseudo
5,0.3509886124538864,Pseudo
6,0.3726094995788257,Pseudo
7,0.4510333120064725,Pseudo
8,0.5120296105613088,Pseudo
9,0.547826260233877,Pseudo
10,0.5436906749697484,Pseudo
11,0.5402443539163079,Pseudo
12,0.5756101727688996,Pseudo
13,0.5703762191660111,Pseudo
14,0.5540917684045137,Pseudo
15,0.5580282250387324,Pseudo
16,0.5553613079048916,Pseudo
17,0.5529907148970331,Pseudo
18,0.5541043092557304,Pseudo
19,0.5353847249446944,Pseudo
20,0.5338109200582072,Pseudo
21,0.549922900199742,Pseudo
22,0.5617131075242606,Pseudo
23,0.5457964206705419,Pseudo
24,0.5440579567368587,Pseudo
25,0.5250250603569722,Pseudo
26,0.524184681170731,Pseudo
27,0.5070413428227188,Pseudo
28,0.5072361459586058,Pseudo
29,0.4963186951944859,Pseudo
30,0.49651276381171094,Pseudo
31,0.48661275941243903,Pseudo
32,0.47731275527978967,Pseudo
33,0.47804869842828,Pseudo
34,0.47027844746026576,Pseudo
35,0.4849929350030362,Pseudo
36,0.47745501553127256,Pseudo
37,0.4877850442616862,Pseudo
38,0.4788869404344695,Pseudo
39,0.4714075824994831,Pseudo
40,0.4721619054221411,Pseudo
41,0.4728803082056249,Pseudo
42,0.4851389056659592,Pseudo
43,0.4773120895144655,Pseudo
44,0.47395203103066735,Pseudo
45,0.4745690482327933,Pseudo
46,0.4833712915293716,Pseudo
47,0.48376636508768595,Pseudo
