Trial Index,Z-Statistic,Generator
0,0,Weak
1,0.07024393586862711,Weak
2,0.04682929057908474,Weak
3,0.370532164559282,Weak
4,0.42735646578902103,Weak
5,0.46793378703250704,Weak
6,0.621852758757834,Weak
7,0.37641606560062046,Weak
8,0.3345920583116626,Weak
9,0.4352969311304838,Weak
10,0.5176918270731556,Weak
11,0.474550841483726,Weak
12,0.4380469306003624,Weak
13,0.4535188406080492,Weak
14,0.3785628916841835,Weak
15,0.4514881227732842,Weak
16,0.346009951639569,Weak
17,0.37703906731144243,Weak
18,0.3571949058739981,Weak
19,0.2722531212553045,Weak
20,0.32317634340980783,Weak
21,0.2829432602116795,Weak
22,0.3378312310333367,Weak
23,0.323754929740281,Weak
24,0.34698609390000135,Weak
25,0.3078396905480807,Weak
26,0.32128342027777906,Weak
27,0.357724754785711,Weak
28,0.29912594301724255,Weak
29,0.317252652597452,Weak
30,0.24210059348947577,Weak
31,0.2764612245210507,Weak
32,0.3087393930658635,Weak
33,0.2601987995492242,Weak
34,0.25276454813353205,Weak
35,0.23013354715901682,Weak
36,0.2601742833574184,Weak
37,0.28863392817695666,Weak
38,0.2812330582237013,Weak
39,0.2742022317681088,Weak
40,0.28387584546278755,Weak
41,0.2771168967612926,Weak
42,0.3018732662900968,Weak
43,0.31416994729312925,Weak
44,0.28536660388523827,Weak
45,0.25167622454783556,Weak
46,0.21777586261065024,Weak
47,0.18689738952219323,Weak
48,0.2002857536222204,Weak
49,0.16944722281977853,Weak
50,0.15297138721056844,Weak
51,0.16293002194209474,Weak
52,0.15985587058469672,Weak
53,0.14648906766740574,Weak
54,0.15602236449617907,Weak
55,0.14320140286322913,Weak
56,0.12892031872089288,Weak
57,0.1291197592901405,Weak
58,0.10550093547784513,Weak
59,0.1060840510821686,Weak
60,0.11816344746481379,Weak
61,0.1298531858996317,Weak
62,0.1171440814686862,Weak
63,0.11750882819163257,Weak
64,0.10538068632330073,Weak
65,0.10378400925779618,Weak
66,0.09979225661697841,Weak
67,0.10795198329478721,Weak
68,0.08694339242819792,Weak
69,0.06653504701493974,Weak
70,0.07504610822951717,Weak
71,0.09263770098327212,Weak
72,0.09136869138076155,Weak
73,0.09203246408828172,Weak
74,0.09080536456710463,Weak
75,0.08961055713859009,Weak
76,0.07973483051016766,Weak
77,0.0895193484577748,Weak
78,0.07595605916005657,Weak
79,0.07500660842055587,Weak
80,0.08448710992676536,Weak
81,0.07527604281485437,Weak
82,0.06759860269721737,Weak
83,0.07477981448951165,Weak
84,0.08381684291226474,Weak
85,0.09064246559060976,Weak
86,0.07506737005927762,Weak
87,0.08946024979155712,Weak
88,0.07321012282086618,Weak
89,0.07985023693674474,Weak
90,0.07897276180557172,Weak
91,0.08727661472533209,Weak
92,0.10076440151860672,Weak
93,0.09969243980032366,Weak
94,0.09158177839979462,Weak
95,0.09940829352504181,Weak
96,0.10529913991395824,Weak
97,0.10422465889442806,Weak
98,0.1099478481303423,Weak
99,0.10884836964903886,Weak
0,-0.5619514869490162,Pseudo
1,0.14048787173725424,Pseudo
2,-0.5771618120917674,Pseudo
3,-0.9359866540062782,Pseudo
4,-1.1512815591549848,Pseudo
5,-0.9594012992958206,Pseudo
6,-0.91817545557498,Pseudo
7,-0.8034035236281075,Pseudo
8,-0.7141364654472067,Pseudo
9,-0.6590891606701854,Pseudo
10,-0.5381882921319925,Pseudo
11,-0.43743756835016506,Pseudo
12,-0.40378852463092163,Pseudo
13,-0.3270307447822889,Pseudo
14,-0.370694062200934,Pseudo
15,-0.31627568331337563,Pseudo
16,-0.2591621919003549,Pseudo
17,-0.2083946439776698,Pseudo
18,-0.22700289887089853,Pseudo
19,-0.1485707146023599,Pseudo
20,-0.1095520904189172,Pseudo
21,-0.09818663759363667,Pseudo
22,-0.10374954502144913,Pseudo
23,-0.15532834674971682,Pseudo
24,-0.1759480286097256,Pseudo
25,-0.24482811229094992,Pseudo
26,-0.2109152046783245,Pseudo
27,-0.13150890523446251,Pseudo
28,-0.10439985089161978,Pseudo
29,-0.05619849631190333,Pseudo
30,-0.07602500911635603,Pseudo
31,-0.03172295300334884,Pseudo
32,-0.07141743280627384,Pseudo
33,-0.04958690851050293,Pseudo
34,-0.0842955924283539,Pseudo
35,-0.08195404819423296,Pseudo
36,-0.1139117994764236,Pseudo
37,-0.11522105258696493,Pseudo
38,-0.0744981856208133,Pseudo
39,-0.10617675064278982,Pseudo
40,-0.11994854680393974,Pseudo
41,-0.10112071489789506,Pseudo
42,-0.09876907036538587,Pseudo
43,-0.06304771060496918,Pseudo
44,-0.08346843939290244,Pseudo
45,-0.09623696012892492,Pseudo
46,-0.09120026157858069,Pseudo
47,-0.1032756809884006,Pseudo
48,-0.10116801402945365,Pseudo
49,-0.08572824588386585,Pseudo
50,-0.05774061779791016,Pseudo
51,-0.09533139783544671,Pseudo
52,-0.06821871511213877,Pseudo
53,-0.06998620960408054,Pseudo
54,-0.05651699864309841,Pseudo
55,-0.05550776652447165,Pseudo
56,-0.0663027248880763,Pseudo
57,-0.07484839319947181,Pseudo
58,-0.10691588152357495,Pseudo
59,-0.09005838293596052,Pseudo
60,-0.08627893613803897,Pseudo
61,-0.08488734039387706,Pseudo
62,-0.08613775431900592,Pseudo
63,-0.07162111393240386,Pseudo
64,-0.06835789876825528,Pseudo
65,-0.07748611838161408,Pseudo
66,-0.09635409850278215,Pseudo
67,-0.09493712646597652,Pseudo
68,-0.07116460884893636,Pseudo
69,-0.07817584996465178,Pseudo
